video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"rFwZqtPc-Ss","[책이벤트] 진짜 인플루언서로 사는 법 | 황태환 @비글부부 Bgeul Bubu  하준파파 에이치유지 대표  | 치유 회복 사랑 컴패션 | 세바시 1217회","2020-08-10T09:00:12Z","UCgheNMc3gGHLsT-RISdCzDQ","세바시 강연 Sebasi Talk","27","2020-08-12T00:00:00Z","세바시 명강의|세바시 강연|인기강연|강사|행복|특강|강의|클래스|비글부부|하준맘|하준파파|인플루언서","1352767","42073","344","1622","https://i.ytimg.com/vi/rFwZqtPc-Ss/default.jpg","False","False","✻ 컴패션은 한 어린이가 자립 가능한 성인이 될 때까지 전인적으로 양육하는 국제어린이양육기구입니다. 어린이가 자라고 후원자도 자라는 우리는 컴패션입니다.▶️ 더 알아보기 : https://compassion.pub/31mCiE0 (후원신청 및 문의 : 02-740-1000) ✻ 강연자의 강연 소개 : SNS와 유튜브를 통해 많은 사람들이 수많은 인기를 얻고 누군가의 연예인으로 살아갑니다. 비글부부로 알려진 하준파파도 그런 사람들 중 한 명입니다. 하준파파는 고민합니다 '진짜 인플루언서는 어떤 사람인가' 그리고 그가 오래도록 고민해왔던 그 답을 세바시에서 이야기합니다.✻본 강연은 컴패션의 제작지원을 받았습니다.✻ 황태환 강연자의 강연 섭외는 이 번호로 문의주세요! ☞ 02-2652-2102✻ 강연 영상이 올라올 때마다 보고 싶다면 지금 클릭(알람설정)!  ☞ http://bit.ly/2odEydm ✻ 가장 빠른 세바시 강연회 신청 https://apply.sebasi.co.kr✻ ⭐️ 더 깊은 공부, 세바시 클래스 https://class.sebasi.co.kr✻ 세바시 홈페이지에서 강연회와 연사들의 다양한 강의를 만나보세요! ☞ http://www.sebasi.co.kr🔥 세바시 멤버십에 가입하세요. 더 깊고 유용한 강연 콘텐츠를 만날 수 있습니다  http://bit.ly/2URQKU4페이스북 페이지 | http://www.facebook.com/sebasi15인스타그램 | http://www.instagram.com/sebasi15/카카오스토리 | http://story.kakao.com/ch/sebasi✻ 세바시 강연 콘텐츠의 저작권은 ‘(주)세상을바꾸는시간15분’에 있습니다. 영상 및 오디오의 불법 다운로드 및 재업로드, 재가공 등의 행위는 법적으로 금지되어 있습니다."
"7Y8Vv_KHp7I","🇺🇲🇪🇸SUB] [몰카] 누가봐도 강도인데 전혀 의심을 안하는 직원을 본다면?!!! 옆 커플들 제대로 터졌음 ㅋㅋㅋㅋㅋ - [동네놈들｜HOODBOYZ]","2020-08-09T11:30:01Z","UCIuFnJrRwHEUcIVtozJnUGA","동네놈들","23","2020-08-12T00:00:00Z","관찰|관찰카메라|실험|실험카메라|prank|prankcam|prankcamera|prankgag|prankgags|gag|gags|comic|comedy|개그|개그맨|코믹|코미디|hidden|히든|역대급|레전드|리액션|레게노|개그우먼|동네놈들|지노송이커플|더블비|보물섬|엔조이커플|eng|engsub|웃긴영상|재밌는영상|funny|fun|funvideo|웃긴영상레전드|fungag|KOREAPRANK|JOKE|장난|금은방|쥬얼리|쥬얼리샵|Jewelry|jewelryshop|예물|예물반지|반지|목걸이","1354418","21632","1309","1166","https://i.ytimg.com/vi/7Y8Vv_KHp7I/default.jpg","False","False","장소 협찬을 해주신 청담 레스티아(LESTIA) 감사드립니다 :-)청담 레스티아(LESTIA) : 서울 강남구 압구정로72길 25🔥 구독 & 좋아요 & 알림설정 Click?!?! oh yeah!!!! 🔥💥동네놈들 페이스북💥 https://www.facebook.com/videodnnd💥동네놈들 공식 인스타그램💥 https://www.instagram.com/hoodboyz_dnnd💥동네놈들 공식 TIKTOK💥https://vt.tiktok.com/r6rtc9/🤡 개그맨 안진호 🤡 https://www.instagram.com/_zin_ho_🤡 개그맨 최부기🤡 https://www.instagram.com/choi_boogie🤡 개그맨 정재형 🤡https://www.instagram.com/star.jjj#몰카 #몰래카메라 #동네놈들 #小区小家伙 #HOODBOYZ #prank #prankcam #웃긴영상 #재밌는영상 #금은방 #쥬얼리 #쥬얼리샵 #예물반지 #예물 #Jewelry #Jewelryshop 엔딩_크레딧_BGM––––––––––––––––––––––––––––––Balekus by Peyruis https://soundcloud.com/peyruisCreative Commons — Attribution 3.0 Unported — CC BY 3.0Free Download / Stream: https://bit.ly/_balekusMusic promoted by Audio Library https://youtu.be/JiEkkAKnigA"
"rRaBKB9gDSQ","뒷광고 논란에 대한 해명 및 전할 말씀이 있습니다","2020-08-09T16:12:59Z","UCBIoXzDldCnpbM_7uyG0_Tg","HONG SOUND","24","2020-08-12T00:00:00Z","ASMR|홍사운드|eatingsound|eating|리얼사운드|이팅사운드|먹는소리|리얼먹방|social mukbang|mukbang|eatingshow|먹방|yt:cc=on","2519737","71721","2863","16283","https://i.ytimg.com/vi/rRaBKB9gDSQ/default.jpg","False","False","인스타그램(instagram) : https://www.instagram.com/hong_sound"
"TgdJcNU1dTA","세계 1위 재벌의 손자가 납치당하자 벌어진 충격적인 일..ㄷㄷ(실화)","2020-08-11T07:00:04Z","UCpr2S3SBmyjvrx9Q4pLUZHw","movie trip 무비트립","1","2020-08-12T00:00:00Z","무비트립|실화|실화영화|올더머니|세계 1위 부자|세계 부자 1위|부자의 손자|재벌 손자|납치 영화|납치","312816","2571","378","236","https://i.ytimg.com/vi/TgdJcNU1dTA/default.jpg","False","False","영화 : 올 더 머니#세계부자1위 #납치 #실화영화안녕하십니까무비트립입니다!!무비트립 페이스북!- https://www.facebook.com/movietripyoutube/?fref=ts무비트립 이메일- movietripyoutube@naver.com"
"JVqe_O7ifcI","[8/12] 김용관,기모란,정준희,김한규,김병민,박창진,김근태,김성희,윤성은,최광희,류밀희 │김어준의 뉴스공장","2020-08-12T01:54:26Z","UC5HSw5OY2vfVFSihpiB-AVQ","TBS 시민의방송","25","2020-08-12T00:00:00Z","TBS|김어준|뉴스공장|대북전단|삐라|이재용|삼성|정경심|타투이스트|김여정","314981","22938","331","355","https://i.ytimg.com/vi/JVqe_O7ifcI/default.jpg","False","False","[TBS 유튜브(수) 생방송]▶7시 6분 : 김어준의 뉴스공장 ▶9시 :골방라이브 ▶10시 : 더 룸8월 12일(수) 김어준의 뉴스공장◎ 1부[이 정도는 알아야 할 아침 뉴스]- 류밀희 기자 (TBS)◎ 2부[인터뷰 제1공장] -전화연결태양광 개발이 산사태 불렀나?산사태 중 태양광 관련은 1%도 안돼 - 김용관 산림복지국장 (산림청)[인터뷰 제2공장] -전화연결남대문시장 집단감염 서울 전역에 확산되나- 기모란 교수 (국립암센터대학원 예방의학과)[인터뷰 제3공장]시세 광고인가, 대안 제시인가부동산 보도 취재 관행의 실태는?- 정준희 겸임교수 (한양대학교)◎ 3부[해뜰날클럽]낙선하면 비로소 보이는 것들 & 21대 국회 관전평- 김한규(더불어민주당)- 김병민(미래통합당)- 박창진(정의당)- 김근태(국민의당)- 김성회(열린민주당)◎ 4부[영화공장]액션과 낭만의 세계한중미 누아르의 끝판왕은?- 윤성은 영화평론가- 최광희 영화평론가----------------------------------------------▶TBS 유튜브 구독 http://j.mp/MyLoveTBS▶TBS 페이스북 https://facebook.com/mylovetbs▶TBS 카카오스토리 https://story.kakao.com/ch/seoultbs▶TBS 인스타그램 https://instagram.com/seoultbstv▶TBS 트위터 https://twitter.com/seoultbstv▶TBS 홈페이지 http://tbs.seoul.kr/▶TBS 유튜브 커뮤니티 http://bit.ly/2EaWnQp"
"T9Zu7tTz2dM","(G)I-DLE, DUMDi DUMDi ((여자)아이들, 덤디덤디) [THE SHOW 200811]","2020-08-11T10:46:55Z","UCoRXPcv8XK5fAplLbk9PTww","The K-POP","10","2020-08-12T00:00:00Z","K-pop|Kpop|SBS|Korea|sbsmedianet|200811|THE SHOW|더쇼|더쇼라이브|(여자)아이들|덤디덤디|(G)I-DLE|DUMDi DUMDi","372646","24976","228","1124","https://i.ytimg.com/vi/T9Zu7tTz2dM/default.jpg","False","False","#여자아이들, 덤디덤디#GIDLE #DUMDiDUMDi채널에 가입하여 혜택을 누려보세요.https://www.youtube.com/channel/UCoRXPcv8XK5fAplLbk9PTww/joinThe K-POP All about K-POP in Korea!Official  K-POP YouTube channel of SBS Medianet.Please don’t forget to click Subscribe.Enjoy your YouTube life with THE K-POP."
"1RsHY_mKLu4","차범근 감독님에게 조차박 이야기를 알려드렸더니… 이런 반응 보이실 줄은 상상도 못했습니닼ㅋㅋㅋㅋㅋ","2020-08-10T09:32:37Z","UCdTDdygpZKdDew2s1s419iw","Shoot for Love 슛포러브","17","2020-08-12T00:00:00Z","슛포러브|Shoot for love|조차박|차범근|조원희|박지성|이영표|분데스리가|인종차별|wecankickracism|1:1|1vs1|차붐|이거해조 원희형|원희형","1105631","17368","225","2800","https://i.ytimg.com/vi/1RsHY_mKLu4/default.jpg","False","False","조차박이 한자리에 모이면 생기는 일...== 슛포러브 더 보기 :Facebook : http://facebook.com/shoot4loveInstagram : http://instagram.com/shoot_for_love/"
"cOQEdUBpLjg","폭우로 인한 침수 상황시 대처 방법은? [행정안전부X사물궁이]","2020-08-12T06:51:08Z","UCzteSXznVjwESizsCcSKSWw","행정안전부","29","2020-08-12T00:00:00Z","행정안전부|행안부|행안부장관|서울정부청사|광화문|지자체|안전|재난안전|행정서비스|공공서비스|정부혁신|전자정부|세종시|공공기관|행정부처|세종|윤종인|행정|세종청사|진영|진영장관|사물궁이|폭우|장마|집중호우|비|태풍|대처요령|대처법|대피요령|차|자동차|침수|차량침수|건물침수|도로침수|침수도로|하는법|HOWTO|집중호우안전|국민행동요령","29603","1180","19","229","https://i.ytimg.com/vi/cOQEdUBpLjg/default.jpg","False","False","#사물궁이 #집중호우 #대처법올해는 왜 폭우로 인한 피해가 유난히 심했는지, 그리고 폭우로 인한 침수 상황에 어떻게 대응해야 하는지 상황별 대응 요령을 준비했습니다. 집중호우, 폭우시 대응요령을 사전에 숙지하시어 피해를 최소화 해야 합니다. 이번 행동요령을 나와 내 가족, 지인 등 많은 분들과 함께 공유하여 대응요령을 꼭! 알아두시기 바랍니다.#사물궁이 #집중호우 #태풍 #장마 #대응요령 #대처방법 #폭우 #침수 #대처법 #소나기 #안전 #안전행동요령 #행동요령 #비 #차량침수 #차량 #건물침수"
"geZXCYNRvy4","[단독 풀버전] 이수현(Lee Suhyun) '주저하는 연인들을 위해' ｜ 💧눈물파티💧 추억이 될 비긴코 마지막 페이지","2020-08-11T07:21:47Z","UC8WoHUeN-eLynnLKGkwajYQ","Beginagain 비긴어게인","24","2020-08-12T00:00:00Z","소향|헨리|하림|적재|정승환|크러쉬|beginagainkorea|Sohyang|Henry|Lee Suhyun|Hareem|Jukjae|Jung Seung hwan|Crush|비긴어게인 눈물|이수현 눈물|수현눈물|잔나비|잔나비노래|이수현노래모음|눈물파티|크러쉬눈물|눈물바다|감동|버스킹|오열|비긴어게인 코리아|비긴어게인 다시보기|비긴코|비긴어게인 이수현|악뮤|악동뮤지션|AKMU|이하이|Lee Hi|하이수현|주저하는연인들을 위해|수현 주저하는연인들을위해","1002565","31246","222","1700","https://i.ytimg.com/vi/geZXCYNRvy4/default.jpg","False","False","이수현 '주저하는 연인들을 위해' 풀버전추억의 밤이 될 〈비긴어게인 코리아〉 마지막 페이지#비긴어게인코리아 #이수현 #주저하는연인들을위해 #Beginagain"
"nuGXWwu015c","김호중 전 여자친구, SNS에 심경 고백 | 행복한 아침 388 회","2020-08-12T02:48:20Z","UCv7HX-7ctqTH4cXxT1nfrIg","채널A Life","22","2020-08-12T00:00:00Z","채널A|채널에이|아침|생활정보|라이프|건강|요리|강연|뉴스|김호중|여자친구|부친|여자|논란|SNS|인스타|페북|심경|입장|진실|진실공방|법|김호중과거|소속사|김호중여친","67285","1121","499","865","https://i.ytimg.com/vi/nuGXWwu015c/default.jpg","False","False","김호중 전 여자친구와 진실 공방김호중 측, 법으로 진실 밝히겠다활기가 넘치는 '행복한 아침'이 시작됩니다!'행복한 아침' 월~금 아침 8시 방송"
"Hfdq0zRyTeo","[주식왕용느]러시아??푸틴??백신??★어린이노약자뿐아니라누구든따라하지마세요!","2020-08-12T07:30:55Z","UCbHN1sTuPySKpnqKSp0JHRQ","TV용느님","20","2020-08-12T00:00:00Z","용느|만만|똘끼|박호두|주식|단타","106504","1181","73","91","https://i.ytimg.com/vi/Hfdq0zRyTeo/default.jpg","False","False","▶투네이션 후원 : https://toon.at/donate/636401262335922842▶구독과 후원은 방송에 큰 힘이 됩니다. 감사합니다 :)▶VIP 가입(월 4990원)https://www.youtube.com/channel/UCbHN1sTuPySKpnqKSp0JHRQ/join▶아프리카TV 주소::http://www.afreecatv.com/drumkyn#만만 #철구 #똘끼 #난닝구 #사또"
"MbrqMzBRs0A","8/12(수) - 집으로 투기? 이제 불가능합니다(이호승 경제수석) / 한상혁과 이정현(박성중·박용진) / 그때만 반짝, 정치인의 기부약속(오수정) [김현정의 뉴스쇼]","2020-08-11T23:59:13Z","UC4Aa3OPkMenwTANpf0oWVRQ","CBS 김현정의 뉴스쇼","25","2020-08-12T00:00:00Z","김현정|뉴스쇼|이호승 경제수석|4대강 사업|코로나 추경|한상혁 방통위원장|한동훈 검사|김조원 수석|광주 납골당|부동산 감독기구","57691","1081","83","44","https://i.ytimg.com/vi/MbrqMzBRs0A/default.jpg","False","False","▣ 라이브 방송 안내뉴스쇼 라이브 방송 | 매주 월~금 오전 7시20분~9시댓꿀쇼 라이브 방송 | 뉴스쇼 본방송 끝나자마자 이어서 오전 9시▣ 김현정의 뉴스쇼 유튜브 구독하기https://goo.gl/ApKab6▣ 제보 및 의견◇ 문자: #1212◇ 뉴스쇼 제보 이메일: newsshow981@gmail.com◇ 댓꿀쇼 관련 이메일: newsshow.cbs@gmail.com◇ 모바일 레인보우- 안드로이드 구글플레이: http://goo.gl/0fboZU- 애플 앱스토어: https://apple.co/2ytJKPW◇ 홈페이지: http://www.cbs.co.kr/radio/pgm/info.asp?pgm=1378&mcd=_INTRO_◇ 카카오TV: https://tv.kakao.com/channel/3238340◇ 트위터: https://twitter.com/cbsnewsshow◇ 페이스북: https://www.facebook.com/981news◇ 인스타그램: https://www.instagram.com/khj_newsshow.cbs#김현정의뉴스쇼 #뉴스닥 #훅!뉴스 #댓꿀쇼"
"kD16sKAlBnU","죄송합니다.","2020-08-10T16:28:41Z","UCRY0vKmqFmQ4XCJomWMBf-w","만만","20","2020-08-12T00:00:00Z","리니지M|리니지2M|전설도전|nc|nc소프트|택진이형|배틀그라운드|배그|입행검|강화|러시|영변|봉준|무엔터","686402","8653","2717","6041","https://i.ytimg.com/vi/kD16sKAlBnU/default.jpg","False","False","안녕하세요. 만만입니다.만만유튜브 구독자 여러분광고라고 정확하게 알리지 않고 방송 또는 영상을 업로드 한 점 죄송합니다.저를 믿고 같이 게임을 즐기셨을텐데 여러분들의 시간과 경제적인 손실을 줬다는 점 죄송합니다. 앞으로는 이런 일이 일어나지 않게 광고라면 광고라고 정확하게 표기하겠습니다.응원해 주시는 팬분들에게 실망을 시켜드려서 죄송합니다.좋은 방송으로 보답하겠습니다.#만만 #사과 #죄송합니다"
"UVo1ApcOLMI","저도 저울사기를 당했습니다. 그리고 이 생선은 병어가 아닙니다.","2020-08-11T10:00:08Z","UCY2uWQDCzn_ZE-JpTfDRR2A","입질의추억TV jiminTV","24","2020-08-12T00:00:00Z","병어돔|병어|호갱|저울상술|바가지|입질의추억|저울사기","574288","6593","155","2025","https://i.ytimg.com/vi/UVo1ApcOLMI/default.jpg","False","False","저울사기를 당했습니다. 앞으로도 계속 당해드리겠습니다. 계측 결과에 토 하나 안 달고 주는대로 가져오겠습니다. 저울장난 사라질 때까지 팩트만 알리겠습니다. 그리고 이 생선은 병어가 아닙니다. 다만, 맛은 있었습니다. 맛은 있지만, 잘못 사면 저처럼 호갱이 됩니다. 병어돔 아니 '무점매가리' 제대로 알고 먹읍시다! 입질의추억TV를 구독(무료)하는 것은 사랑입니다~♥ '좋아요와 알림설정도' 부탁드려요! ^^- 총괄 : 김지민- 기획, 촬영 : 김지민, 조정연- 영상 편집 : 김은진입질의 추억의 어류, 생선 ↓↓↓https://www.youtube.com/watch?v=GT2qGGuS5XM&list=PLd4fUtz0QVASvLY7_3uYcW2ZwrQBDIWCv입질의 추억의 갑각류, 해산물 ↓↓↓https://www.youtube.com/watch?v=cqo7hsXNKf4&list=PLd4fUtz0QVAR_kVXWGfLQpqE67mJcG5QK입질의 추억의 수산시장 탐방 ↓↓↓https://www.youtube.com/watch?v=Hht0ZmjrmfI&list=PLd4fUtz0QVAQHxDjV_quwK95IHFTZmwa-입질의 추억의 기생충 이야기 ↓↓↓https://www.youtube.com/watch?v=NPyijVTsP5g&list=PLd4fUtz0QVATWhwAmbsl2j-Ar0BLKqTiq입질의 추억의 낚시 ↓↓↓https://www.youtube.com/watch?v=sCDxpD2i2Mo&list=PLd4fUtz0QVASGVPnYom-uOcmKeuOGCbE1입질의 추억의 V-Log ↓↓↓https://www.youtube.com/watch?v=Y45HiRxaKg4&list=PLd4fUtz0QVARYm-f4KqxAQaYycLvTRrA3비즈니스 문의 : slds3@sandboxnetwork.net입질의추억 유튜브 구독하기 : https://www.youtube.com/입질의추억tv입질의 추억 티스토리 블로그 : https://slds2.tistory.com입질의 추억 네이버 블로그 : https://blog.naver.com/slds2입질의 추억 페이스북 : https://www.facebook.com/slds22입질의 추억 인스타그램 : https://www.instagram.com/slds3네이버 오디오 클립(우리 식탁의 수산물 상식) : https://audioclip.naver.com/channels/802#병어돔 #병어 #호갱"
"oQHdEeUcfO8","룬테라 이야기: 타곤 | '도약의 길'","2020-08-11T15:00:13Z","UCLuCG6sPAQX_bhTt1ztN1FQ","레전드 오브 룬테라","20","2020-08-12T00:00:00Z","Riotgames|라이엇 게임즈|Riot|라이엇|리그오브레전드|리그 오브 레전드|롤|LoL|Leagueoflegends|League of Legends|LoR|Legends of Runeterra|레오룬|룬테라|레전드 오브 룬테라|롤 세계관|세계관|룬테라 세계관","158938","1077","20","554","https://i.ytimg.com/vi/oQHdEeUcfO8/default.jpg","False","False","타곤의 루나리와 솔라리에 합류하시겠어요? 지금 바로 https://playruneterra.com/ko-kr에서 플레이하세요.다가오는 일식의 그림자 속에서, 젊은 루나리 정찰병이 그녀의 연인인 솔라리 병사와 함께 감옥을 탈출합니다. 이 둘은 영원히 타곤을 등지기로 결심합니다.출연:차가운 달의 분노 다이애나광휘의 여명 레오나※ 타곤을 탐험하세요.▶레전드 오브 룬테라에서 타곤을 플레이하세요.https://playruneterra.com/ko-kr/▶타곤의 세계를 직접 경험하세요.https://universe.leagueoflegends.com/ko_KR/region/mount-targon/▶룬테라의 세계를 탐험하세요.https://map.leagueoflegends.com/ko_KR"
"2ErtcO2XuYs","자수 하겠습니다 죄송합니다","2020-08-10T12:50:44Z","UCg_lS-XS9Fh9I6Rl56Z8fpg","최고다윽박EUGBAK","23","2020-08-12T00:00:00Z","최고다윽박|자연인|바다|낚시|요리먹방|시골|아프리카TV|국민바보|eugbak|mukbang|자연의왕|밀림|동물|생존|윽짓거리|윽|윽튜브|윽박이|fun|funny|웃긴|실시간|영상|재미|코믹|comedy|윽박|Primitive|Culture|bushcraft|자연|만들기","1118238","32497","2696","11910","https://i.ytimg.com/vi/2ErtcO2XuYs/default.jpg","False","False","죄송합니다"
